●標的證券資訊,,,,,,,,
"股票期貨、
選擇權
商品代碼 ",標的證券 ,"證券
代號 ","標的證券
簡稱 ",是否為標的,,標的證券,,
NW,群聯電子股份有限公司,8299,群聯,●,,,◎,
NX,森鉅科技材料股份有限公司,8942,森鉅,●,,,◎,
NY,元大台灣卓越50證券投資信託基金,0050,台灣50ETF,●,●,,,◎
NZ,元大標智滬深300證券投資信託基金,0061,寶滬深ETF,●,●,,,◎
OA,富邦上証180證券投資信託基金,006205,FB上証ETF,●,●,,,◎
OB,元大中國傘型證券投資信託基金之上證50證券投資信託基金,006206,元上證ETF,●,●,,,◎
OC,復華滬深300 A股證券投資信託基金,006207,FH滬深ETF,●,●,,,◎
OD,為升電裝工業股份有限公司,2231,為升,●,,◎,,
OE,瀚宇彩晶股份有限公司,6116,彩晶,●,,◎,,
OF,東隆興業股份有限公司,4401,東隆興,●,,,◎,
OG,先豐通訊股份有限公司,5349,先豐,●,,,◎,
OH,胡連精密股份有限公司,6279,胡連,●,,,◎,
OI,國統國際股份有限公司,8936,國統,●,,,◎,
OJ,國泰富時中國A50證券投資信託基金,00636,CFA50ETF,●,●,,,◎
OK,富邦深証100證券投資信託基金,00639,深100ETF,●,●,,,◎
,標的合計數：,,,217,46,182,28,7
    註：最新更新(生效)日期：2016年6月16日 。,,,,,,,,
